title,fuel_type,mileage,power,origin,city,region,reg_month,reg_year,garanty,price_neg,price,link
Volvo V60,Híbrido (Diesel),180000.0,285.0,,Croca,Porto,Novembro,2013.0,1,Valor Fixo,16850.0,https://www.standvirtual.com/anuncio/volvo-v60-ID8M7mXq.html#500cf7fb08
Smart ForTwo,Gasolina,60000.0,70.0,,Croca,Porto,Abril,2014.0,1,Negociável,7950.0,https://www.standvirtual.com/anuncio/smart-fortwo-ID8Lqp91.html#500cf7fb08
BMW X5 3.0 d,Diesel,297120.0,184.0,,Alvalade,Lisboa,Maio,2003.0,0,Negociável,8000.0,https://www.standvirtual.com/anuncio/bmw-x5-3-0-d-ID8OIKTI.html#500cf7fb08
Mercedes-Benz E 200 Cdi,Diesel,300000.0,120.0,,Croca,Porto,Fevereiro,1999.0,1,Valor Fixo,5750.0,https://www.standvirtual.com/anuncio/mercedes-benz-e-200-cdi-ID8MgBOP.html#500cf7fb08
BMW Z3 2.0,Gasolina,170000.0,150.0,Nacional,Porto,Porto,Fevereiro,2001.0,1,Negociável,15900.0,https://www.standvirtual.com/anuncio/bmw-z3-2-0-ID8OBfTO.html#500cf7fb08
Toyota MR2,Gasolina,4075.0,125.0,,Alvalade,Lisboa,Março,1985.0,0,Valor Fixo,8000.0,https://www.standvirtual.com/anuncio/toyota-mr2-ID8OIPKv.html#500cf7fb08
Renault Captur 1.5 dCi EDC,Diesel,130000.0,90.0,,Vila Nova de Famalicão e Calendário,Braga,Outubro,2016.0,1,Negociável,13480.0,https://www.standvirtual.com/anuncio/renault-captur-1-5-dci-edc-ID8OxN0K.html#500cf7fb08
Toyota Yaris 1.5 HSD Comfort,Híbrido (Gasolina),61000.0,101.0,,Vila Nova de Famalicão e Calendário,Braga,Julho,2013.0,1,Negociável,10880.0,https://www.standvirtual.com/anuncio/toyota-yaris-1-5-hsd-comfort-ID8ODQBF.html#500cf7fb08
SEAT Leon 1.9 TDi Eco Drivers Edition,Diesel,220000.0,105.0,,Vila Nova de Famalicão e Calendário,Braga,Dezembro,2008.0,1,Negociável,7780.0,https://www.standvirtual.com/anuncio/seat-leon-1-9-tdi-eco-drivers-edition-ID8ODQHI.html#4c7834caf3
Renault Captur,Diesel,120000.0,90.0,Nacional,Vila Nova de Famalicão e Calendário,Braga,Maio,2013.0,1,Negociável,12580.0,https://www.standvirtual.com/anuncio/renault-captur-ID8Km4wO.html#4c7834caf3
Audi A3 Sportback 1.2 TFSi Advance,Gasolina,85000.0,105.0,,Vila Nova de Famalicão e Calendário,Braga,Maio,2014.0,1,Negociável,15680.0,https://www.standvirtual.com/anuncio/audi-a3-sportback-1-2-tfsi-advance-ID8NFoQn.html#4c7834caf3
MINI Cooper 1.6D,Diesel,190000.0,110.0,,Vila Nova de Famalicão e Calendário,Braga,Junho,2007.0,1,Negociável,8480.0,https://www.standvirtual.com/anuncio/mini-cooper-1-6d-ID8MP2e5.html#4c7834caf3
Opel Corsa 1.5 TD Sport,Diesel,379000.0,67.0,Nacional,Covilhã e Canhoso,Castelo Branco,Dezembro,1996.0,1,Negociável,1780.0,https://www.standvirtual.com/anuncio/opel-corsa-1-5-td-sport-ID8ODRdv.html#4c7834caf3
Toyota Corolla Verso 1.6 VVT-i,Gasolina,167622.0,110.0,Nacional,Covilhã e Canhoso,Castelo Branco,Agosto,2005.0,1,Valor Fixo,5690.0,https://www.standvirtual.com/anuncio/toyota-corolla-verso-1-6-vvt-i-ID8ODR6j.html#4c7834caf3
Opel Corsa 1.3 CDTI Enjoy,Diesel,105000.0,95.0,Nacional,Bougado (São Martinho e Santiago),Porto,Dezembro,2016.0,1,Negociável,9500.0,https://www.standvirtual.com/anuncio/opel-corsa-1-3-cdti-enjoy-ID8OrQjx.html#4c7834caf3
SEAT Marbella,Gasolina,45000.0,40.0,,Sacavém e Prior Velho,Lisboa,Março,1992.0,1,Negociável,1500.0,https://www.standvirtual.com/anuncio/seat-marbella-ID8OD7R9.html#4c7834caf3
Renault Mégane Coupe 1.5 dCi Dyna.CO2 Champion,Diesel,185000.0,110.0,,São Tomé Negrelos,Porto,Maio,2013.0,1,Negociável,13250.0,https://www.standvirtual.com/anuncio/renault-mgane-coupe-1-5-dci-dyna-co2-champion-ID8OjHqC.html#4c7834caf3
Ford Focus Rs Mountune 380,Gasolina,24000.0,380.0,,Barroselas e Carvoeiro,Viana do Castelo,Abril,2016.0,1,Negociável,40990.0,https://www.standvirtual.com/anuncio/ford-focus-rs-mountune-380-ID8OIPKy.html#4c7834caf3
BMW 116 116D Advantage LED/NAVI,Diesel,1200.0,116.0,,Romeira e Várzea,Santarém,Abril,2019.0,1,"Negociável                                                , Valor negociável",25900.0,https://www.standvirtual.com/anuncio/bmw-116-116d-advantage-led-navi-ID8Ofw5y.html#4c7834caf3
Renault Mégane Sport Tourer 1.5 dCI COMFORT 110 CV,Diesel,89000.0,110.0,Nacional,Matosinhos e Leça da Palmeira,Porto,Fevereiro,2016.0,1,Valor Fixo,12950.0,https://www.standvirtual.com/anuncio/renault-mgane-sport-tourer-1-5-dci-comfort-110-cv-ID8NWgCh.html#4c7834caf3
BMW 730 D EXECUTIVE PRO Carbon Core,Diesel,86000.0,265.0,Nacional,Alfeizerão,Leiria,Setembro,2015.0,1,Negociável,54950.0,https://www.standvirtual.com/anuncio/bmw-730-d-executive-pro-carbon-core-ID8MW90J.html#4c7834caf3
Renault Clio 1.5 dCi,Diesel,118000.0,90.0,,Sacavém e Prior Velho,Lisboa,Maio,2016.0,1,Negociável,12950.0,https://www.standvirtual.com/anuncio/renault-clio-1-5-dci-ID8Nv5Ct.html#4c7834caf3
Renault Clio,Diesel,260000.0,65.0,,Mirandela,Bragança,Maio,2004.0,1,Negociável,3550.0,https://www.standvirtual.com/anuncio/renault-clio-ID8MCyiW.html#4c7834caf3
VW Caravelle,Diesel,110000.0,102.0,Nacional,Campo e Sobrado,Porto,Abril,2016.0,1,Negociável,22500.0,https://www.standvirtual.com/anuncio/vw-caravelle-ID8OIPMe.html#4c7834caf3
SEAT Leon,Diesel,169543.0,150.0,,Mirandela,Bragança,Junho,2004.0,0,Valor Fixo,2750.0,https://www.standvirtual.com/anuncio/seat-leon-ID8MxEAZ.html#4c7834caf3
Ford Galaxy,Diesel,156000.0,115.0,,Mirandela,Bragança,Junho,2003.0,1,Valor Fixo,6500.0,https://www.standvirtual.com/anuncio/ford-galaxy-ID8M5NIo.html#4c7834caf3
Fiat 500,Gasolina,100.0,69.0,,Mirandela,Bragança,Novembro,2019.0,1,Valor Fixo,14999.0,https://www.standvirtual.com/anuncio/fiat-500-ID8OkYCK.html#4c7834caf3
Fiat 500X,Gasolina,1.0,120.0,Nacional,Mirandela,Bragança,Dezembro,2019.0,1,Valor Fixo,20550.0,https://www.standvirtual.com/anuncio/fiat-500x-ID8NMQvh.html#4c7834caf3
