title,fuel_type,mileage,power,origin,city,region,reg_month,reg_year,garanty,price_neg,price,link
Peugeot 208 1.4 HDi Active,Diesel,113384.0,68.0,Nacional,Barreiro e Lavradio,Setúbal,Junho,2013.0,1,Valor Fixo,10950.0,https://www.standvirtual.com/anuncio/peugeot-208-1-4-hdi-active-ID8OslwS.html#7ce9f71ee3
Citroën C4 Aircross 1.6HDI 115CVM Sedution,Diesel,81490.0,115.0,Nacional,Venteira,Lisboa,Abril,2015.0,1,"Negociável                                                , Valor negociável",17350.0,https://www.standvirtual.com/anuncio/citron-c4-aircross-1-6hdi-115cvm-sedution-ID8MWPlF.html#7ce9f71ee3
BMW 525 d Line Luxury Auto,Diesel,112800.0,218.0,Nacional,Pedrouços,Porto,Abril,2013.0,0,Negociável,22500.0,https://www.standvirtual.com/anuncio/bmw-525-d-line-luxury-auto-ID8N2Izv.html#7ce9f71ee3
Citroën C4 Cactus 1.5 BlueHDi 100 S&amp;S CVM6 Feel,Diesel,6769.0,100.0,Nacional,Venteira,Lisboa,Maio,2019.0,1,"Negociável                                                , Valor negociável",18495.0,https://www.standvirtual.com/anuncio/citron-c4-cactus-1-5-bluehdi-100-s-amps-cvm6-feel-ID8NIEih.html#7ce9f71ee3
Peugeot 208 1.2 PureTech Signature,Gasolina,9000.0,82.0,Nacional,Mafra,Lisboa,Outubro,2018.0,1,Negociável,12450.0,https://www.standvirtual.com/anuncio/peugeot-208-1-2-puretech-signature-ID8OaPl1.html#7ce9f71ee3
Citroën C3 aircross 1.2PureTech Fell 82CVM 5P,Gasolina,38437.0,82.0,Nacional,Venteira,Lisboa,Abril,2018.0,1,"Negociável                                                , Valor negociável",14650.0,https://www.standvirtual.com/anuncio/citron-c3-aircross-1-2puretech-fell-82cvm-5p-ID8NXBfs.html#7ce9f71ee3
Citroën C4 Cactus 1.6 BlueHDi 100CVM Feel,Diesel,24343.0,100.0,Nacional,Venteira,Lisboa,Abril,2018.0,1,"Negociável                                                , Valor negociável",16995.0,https://www.standvirtual.com/anuncio/citron-c4-cactus-1-6-bluehdi-100cvm-feel-ID8MJqUw.html#7ce9f71ee3
Land Rover Evoque ED4,Diesel,67000.0,150.0,,Lourosa,Aveiro,Dezembro,2013.0,1,Negociável,29900.0,https://www.standvirtual.com/anuncio/land-rover-evoque-ed4-ID8OORth.html#7ce9f71ee3
BMW 120 d Pack M,Diesel,127000.0,184.0,,Lourosa,Aveiro,Agosto,2013.0,1,Negociável,19900.0,https://www.standvirtual.com/anuncio/bmw-120-d-pack-m-ID8OKXLK.html#7ce9f71ee3
Renault Mégane Coupe 1.5 dCi Dynamique S,Diesel,163000.0,110.0,,Lourosa,Aveiro,Janeiro,2011.0,1,Negociável,7990.0,https://www.standvirtual.com/anuncio/renault-mgane-coupe-1-5-dci-dynamique-s-ID8OOR4d.html#7ce9f71ee3
Toyota Yaris,Gasolina,66197.0,69.0,Nacional,Vila Nova de Gaia,Porto,Janeiro,2016.0,1,Negociável,11350.0,https://www.standvirtual.com/anuncio/toyota-yaris-ID8OwAJx.html#7ce9f71ee3
Ford Focus SW,Diesel,54763.0,120.0,Nacional,Vila Nova de Gaia,Porto,Julho,2015.0,1,Valor Fixo,13450.0,https://www.standvirtual.com/anuncio/ford-focus-sw-ID8OeFYu.html#7ce9f71ee3
Fiat Panda 1.2 Lounge 70CVM  5P,Gasolina,44352.0,70.0,Nacional,Venteira,Lisboa,Janeiro,2018.0,1,"Negociável                                                , Valor negociável",9490.0,https://www.standvirtual.com/anuncio/fiat-panda-1-2-lounge-70cvm-5p-ID8OHR6u.html#7ce9f71ee3
Opel Insignia,Diesel,160000.0,130.0,Nacional,Benfica,Lisboa,Dezembro,2010.0,0,Negociável,11000.0,https://www.standvirtual.com/anuncio/opel-insignia-ID8OM2sc.html#7ce9f71ee3
MINI Cooper Cooper S Cabrio,Gasolina,60012.0,184.0,,"Santa Iria de Azoia, São João da Talha e Bobadela",Lisboa,Junho,2012.0,1,Negociável,16500.0,https://www.standvirtual.com/anuncio/mini-cooper-cooper-s-cabrio-ID8OMWMa.html#7ce9f71ee3
BMW 116 d EfficientDynamics,Diesel,133000.0,116.0,Nacional,Cascais e Estoril,Lisboa,Julho,2013.0,0,Valor Fixo,12250.0,https://www.standvirtual.com/anuncio/bmw-116-d-efficientdynamics-ID8OtjYV.html#7ce9f71ee3
Mercedes-Benz CLK 200 Kompressor Elegance,Gasolina,120000.0,192.0,Nacional,Paços de Ferreira,Porto,Maio,1998.0,0,Negociável,7500.0,https://www.standvirtual.com/anuncio/mercedes-benz-clk-200-kompressor-elegance-ID8ON67o.html#7ce9f71ee3
BMW X5 35 d xDrive,Diesel,207600.0,285.0,Nacional,Ponte do Rol,Lisboa,Setembro,2009.0,0,Negociável,27500.0,https://www.standvirtual.com/anuncio/bmw-x5-35-d-xdrive-ID8OLAQ8.html#7ce9f71ee3
Fiat Panda 1.2 Lounge 70CVM 5P,Gasolina,44352.0,70.0,Nacional,Venteira,Lisboa,Fevereiro,2018.0,1,"Negociável                                                , Valor negociável",9490.0,https://www.standvirtual.com/anuncio/fiat-panda-1-2-lounge-70cvm-5p-ID8OHPin.html#7ce9f71ee3
Fiat Tipo,Diesel,69955.0,120.0,Nacional,Venteira,Lisboa,Junho,2018.0,1,Negociável,15750.0,https://www.standvirtual.com/anuncio/fiat-tipo-ID8NYfiy.html#7ce9f71ee3
Fiat Tipo,Diesel,71958.0,120.0,Nacional,Venteira,Lisboa,Julho,2018.0,1,Negociável,15750.0,https://www.standvirtual.com/anuncio/fiat-tipo-ID8OHYeE.html#7ce9f71ee3
BMW 320 D Nacional c/ pele. Bimassa novo,Diesel,321000.0,136.0,Nacional,Amadora,Lisboa,Março,2000.0,0,Valor Fixo,3000.0,https://www.standvirtual.com/anuncio/bmw-320-d-nacional-c-pele-bimassa-novo-ID8OOLbc.html#7ce9f71ee3
Mitsubishi Lancer 1.5 Invite,Gasolina,67000.0,109.0,Nacional,Carnaxide e Queijas,Lisboa,Janeiro,2009.0,1,Valor Fixo,5850.0,https://www.standvirtual.com/anuncio/mitsubishi-lancer-1-5-invite-ID8ON5Qb.html#7ce9f71ee3
BMW 118 d Line Sport Auto,Diesel,108428.0,150.0,,"Aver-O-Mar, Amorim e Terroso",Porto,Janeiro,2017.0,1,Valor Fixo,19500.0,https://www.standvirtual.com/anuncio/bmw-118-d-line-sport-auto-ID8ONHIi.html#7ce9f71ee3
BMW X1 18 d sDrive Auto xLine,Diesel,130778.0,150.0,,"Aver-O-Mar, Amorim e Terroso",Porto,Fevereiro,2017.0,1,Valor Fixo,27500.0,https://www.standvirtual.com/anuncio/bmw-x1-18-d-sdrive-auto-xline-ID8ONHv5.html#7ce9f71ee3
BMW X3 18 d sDrive Auto,Diesel,102759.0,150.0,,"Aver-O-Mar, Amorim e Terroso",Porto,Janeiro,2017.0,1,Valor Fixo,30000.0,https://www.standvirtual.com/anuncio/bmw-x3-18-d-sdrive-auto-ID8ONHCB.html#7ce9f71ee3
Fiat 500C 1.2 Lounge Dualogic,Gasolina,48000.0,69.0,Nacional,Benfica,Lisboa,Março,2015.0,1,Valor Fixo,11750.0,https://www.standvirtual.com/anuncio/fiat-500c-1-2-lounge-dualogic-ID8OI8MN.html#7ce9f71ee3
Ford Fiesta 1.5 TDCi TITANIUM 75CV 5P,Diesel,60597.0,75.0,Nacional,Venteira,Lisboa,Dezembro,2014.0,1,"Valor Fixo                                                 , Valor negociável",9995.0,https://www.standvirtual.com/anuncio/ford-fiesta-1-5-tdci-titanium-75cv-5p-ID8N2YJo.html#7ce9f71ee3
VW Passat Alltrack,Diesel,127000.0,140.0,Nacional,Benfica,Lisboa,Agosto,2014.0,1,Valor Fixo,17980.0,https://www.standvirtual.com/anuncio/vw-passat-alltrack-ID8Ovsj8.html#7ce9f71ee3
Ford Tourneo,Diesel,40969.0,75.0,Nacional,Venteira,Lisboa,Novembro,2016.0,1,Valor Fixo,12995.0,https://www.standvirtual.com/anuncio/ford-tourneo-ID8OqWtD.html#7ce9f71ee3
Ford Focus 1.0 EcoBoost Titanium,Gasolina,25000.0,125.0,Nacional,Benfica,Lisboa,Março,2018.0,1,Valor Fixo,15980.0,https://www.standvirtual.com/anuncio/ford-focus-1-0-ecoboost-titanium-ID8OIMLh.html#7ce9f71ee3
Nissan Micra 0.9 IG-T Acenta NAV,Gasolina,51268.0,90.0,Nacional,Venteira,Lisboa,Junho,2018.0,1,"Negociável                                                , Valor negociável",13790.0,https://www.standvirtual.com/anuncio/nissan-micra-0-9-ig-t-acenta-nav-ID8OHOlK.html#7ce9f71ee3
Peugeot 308 STYLE 1.5 BHDI 110 CVM,Diesel,35980.0,110.0,Nacional,Venteira,Lisboa,Junho,2018.0,1,"Negociável                                                , Valor negociável",20990.0,https://www.standvirtual.com/anuncio/peugeot-308-style-1-5-bhdi-110-cvm-ID8OCe8u.html#14a617a363
Peugeot 308 SW 1.6 BlueHDi Active 100CVM,Diesel,37188.0,100.0,Nacional,Venteira,Lisboa,Abril,2018.0,1,"Negociável                                                , Valor negociável",18995.0,https://www.standvirtual.com/anuncio/peugeot-308-sw-1-6-bluehdi-active-100cvm-ID8NBagl.html#14a617a363
Porsche 996 Carrera Cabrio,Gasolina,105000.0,320.0,Importado,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",Lisboa,Julho,2003.0,1,Valor Fixo,33000.0,https://www.standvirtual.com/anuncio/porsche-996-carrera-cabrio-ID8NoRQA.html#14a617a363
Renault Mégane,Diesel,191000.0,110.0,,Agualva e Mira-Sintra,Lisboa,Novembro,2012.0,0,Valor Fixo,6000.0,https://www.standvirtual.com/anuncio/renault-mgane-ID8OOlMA.html#14a617a363
Renault Mégane ST Sport 1.5 DCI GT Line,Diesel,41930.0,110.0,Nacional,Venteira,Lisboa,Agosto,2017.0,1,"Negociável                                                , Valor negociável",20490.0,https://www.standvirtual.com/anuncio/renault-mgane-st-sport-1-5-dci-gt-line-ID8OHNuu.html#14a617a363
Audi A6 Allroad,Diesel,250000.0,240.0,,Fátima,Santarém,Dezembro,2011.0,0,Negociável,22200.0,https://www.standvirtual.com/anuncio/audi-a6-allroad-ID8Oj3TH.html#14a617a363
SEAT Altea XL 1.6 TDi Copa Plus Eco.Start-Stop,Diesel,57183.0,105.0,Nacional,Venteira,Lisboa,Dezembro,2013.0,1,"Valor Fixo                                                 , Valor negociável",14500.0,https://www.standvirtual.com/anuncio/seat-altea-xl-1-6-tdi-copa-plus-eco-start-stop-ID8K7Sc2.html#14a617a363
Nissan Qashqai 1.3 DIG-T N-Conect Navigation (140 cv),Gasolina,2400.0,140.0,Nacional,Lisboa,Lisboa,Outubro,2019.0,1,Valor Fixo,22490.0,https://www.standvirtual.com/anuncio/nissan-qashqai-1-3-dig-t-n-conect-navigation-140-cv-ID8OxqHR.html#14a617a363
Mercedes-Benz A 180,Diesel,8000.0,116.0,Nacional,Lisboa,Lisboa,Setembro,2019.0,1,Valor Fixo,31990.0,https://www.standvirtual.com/anuncio/mercedes-benz-a-180-ID8OjjmK.html#14a617a363
SEAT Ibiza 1.0i Reference 75cv 5p,Gasolina,14618.0,75.0,Nacional,Venteira,Lisboa,Novembro,2017.0,1,"Valor Fixo                                                 , Valor negociável",11400.0,https://www.standvirtual.com/anuncio/seat-ibiza-1-0i-reference-75cv-5p-ID8LVUVg.html#14a617a363
VW Golf Variant,Diesel,110000.0,115.0,Nacional,Santo António dos Olivais,Coimbra,Julho,2017.0,1,Negociável,16900.0,https://www.standvirtual.com/anuncio/vw-golf-variant-ID8OoSSC.html#14a617a363
